Customer No.,Exposure at Default,Recovery,Probability of Default,Recovered Money
340,10.97,39.52,0.0085,4.335344
341,20.23,10.89,0.0096,2.203047
342,8.49,20.49,0.0046,1.739601
343,21.12,20.01,0.0036,4.226112
344,3.78,3.9,0.0011,0.14742
345,16.1,22.54,0.0052,3.62894
346,3.89,13.68,0.0047,0.532152
347,9.09,18.02,0.0011,1.638018
348,3.51,29.99,0.0076,1.052649
349,15.73,33.88,0.001,5.329324
350,1.62,4.79,0.0048,0.077598
351,12.02,15.49,0.0027,1.861898
352,18.82,33.52,0.0012,6.308464
353,8.81,8.92,0.0083,0.785852
354,16.97,33.43,0.0085,5.673071
355,8.23,7.45,0.0017,0.613135
356,4.61,28.55,0.0049,1.316155
357,5.21,34.67,0.0077,1.806307
358,21.55,27.47,0.0059,5.919785
359,8.45,8.21,0.0035,0.693745
360,10.16,17.22,0.0059,1.749552
361,20.56,10.63,0.0085,2.185528
362,12.55,1.86,0.0006,0.23343
363,14.71,6.77,0.002,0.995867
364,0.48,18.77,0.0065,0.090096
365,15.17,28.94,0.0024,4.390198
366,2.03,25.03,0.0024,0.508109
367,2.59,30.2,0.0042,0.78218
368,24.05,13.69,0.0068,3.292445
369,14.22,27.96,0.0062,3.975912
370,19.21,28.45,0.0035,5.465245
371,18.31,30.91,0.0059,5.659621
372,17.45,20.59,0.001,3.592955
373,9.12,32.01,0.0091,2.919312
374,1.31,31.71,0.0024,0.415401
375,5.66,39.31,0.0081,2.224946
376,15.01,7.95,0.0069,1.193295
377,10.92,15,0.0062,1.638
378,3.05,24.13,0.007,0.735965
379,0.39,35.7,0.0077,0.13923
380,23.23,2.87,0.0069,0.666701
381,13.26,19.48,0.0053,2.583048
382,12.7,24.02,0.0041,3.05054
383,22.58,30.24,0.0037,6.828192
384,19.86,7.27,0.0045,1.443822
385,8.9,2.27,0.0029,0.20203
386,24.28,7.86,0.0093,1.908408
387,13.55,3.86,0.0037,0.52303
388,8.65,4.12,0.0049,0.35638
389,3.4,24.88,0.0019,0.84592
390,22.05,4.03,0.0059,0.888615
391,20.98,26.35,0.0049,5.52823
392,21.26,21.94,0.0007,4.664444
393,2.59,35.57,0.0005,0.921263
394,21.77,31.7,0.0014,6.90109
395,17.66,17.73,0.0068,3.131118
396,5.01,35.97,0.0027,1.802097
397,14.17,31.43,0.0042,4.453631
398,4.15,18.68,0.0071,0.77522
399,11.27,36.62,0.0076,4.127074
400,6.16,29.76,0.0021,1.833216
401,7.46,32.65,0.0076,2.43569
402,8.37,33.23,0.0084,2.781351
403,21.24,38.76,0.0023,8.232624
404,10,37.05,0.0007,3.705
405,21.68,37.08,0.0072,8.038944
406,4.29,34.71,0.0077,1.489059
407,20.83,22.25,0.0078,4.634675
408,12.47,6.52,0.0081,0.813044
409,0.4,25.32,0.0017,0.10128
410,15.16,13.04,0.0095,1.976864
411,15.32,36.4,0.0035,5.57648
412,20.3,15.49,0.0087,3.14447
413,22.85,28.12,0.0091,6.42542
414,2.15,23.14,0.0097,0.49751
415,22.73,37.87,0.0083,8.607851
416,22.63,2.74,0.0015,0.620062
417,23.48,39.5,0.0079,9.2746
418,2.23,21.37,0.0055,0.476551
419,1.38,37.92,0.0096,0.523296
420,16.04,18.19,0.0072,2.917676
421,17.37,31.79,0.0063,5.521923
422,4.09,3.06,0.0002,0.125154
423,9.84,28.29,0.0071,2.783736
424,0.88,37.64,0.0049,0.331232
425,24.91,35.3,0.0075,8.79323
426,15.98,20.84,0.0073,3.330232
427,16.38,32.55,0.0079,5.33169
428,15.55,13.85,0.0039,2.153675
429,12.22,0.72,0.0003,0.087984
430,0.91,38.7,0.0022,0.35217
431,12.92,33.15,0.0037,4.28298
432,14.55,6.09,0.0007,0.886095
433,8.76,1.79,0.0015,0.156804
434,16.71,13.29,0.0036,2.220759
435,13.01,30.73,0.0093,3.997973
436,18.33,12.63,0.0079,2.315079
437,9.93,12.86,0.0008,1.276998
438,22.13,24.8,0.0018,5.48824
439,5.31,1.9,0.001,0.10089
440,23.31,8.43,0.0058,1.965033
441,0.87,38.23,0.006,0.332601
442,7.52,32.11,0.0075,2.414672
443,12.35,29.9,0.0056,3.69265
444,17.93,32.76,0.0064,5.873868
445,14.02,38.14,0.005,5.347228
446,11.96,35.81,0.0044,4.282876
447,2.86,18.07,0.0088,0.516802
448,12.56,22.77,0.0007,2.859912
449,16.34,17.66,0.0063,2.885644
450,3.94,35.51,0.0088,1.399094
451,16.18,24.11,0.0066,3.900998
452,9,27.26,0.0094,2.4534
453,10.55,25.64,0.0045,2.70502
454,12.74,7.88,0.0029,1.003912
455,13.42,16.3,0.0099,2.18746
456,7.85,12.29,0.0062,0.964765
457,20.62,30.72,0.0071,6.334464
458,8.74,23.78,0.0093,2.078372
459,22.31,27.44,0.0086,6.121864
460,18.03,39.31,0.0018,7.087593
461,9.26,11.7,0.0061,1.08342
462,16.42,4.95,0.0029,0.81279
463,17.44,7.15,0.0044,1.24696
464,13.68,5.65,0.0045,0.77292
465,0.87,16.26,0.0072,0.141462
466,11.86,21.94,0.0086,2.602084
467,7.23,19.56,0.0084,1.414188
468,3.76,22.15,0.0031,0.83284
469,19.91,8.86,0.0079,1.764026
470,19.8,39.34,0.0099,7.78932
471,20,14.32,0.0071,2.864
472,24.13,3.05,0.0013,0.735965
473,7.55,12.75,0.009,0.962625
474,5.89,5.71,0.0053,0.336319
475,23.96,37.06,0.0017,8.879576
476,13.42,29.38,0.0066,3.942796
477,15.49,37.89,0.0048,5.869161
478,15.55,10.19,0.0027,1.584545
479,20.51,39.36,0.0037,8.072736
480,4.65,33.18,0.0012,1.54287
481,22.71,3.42,0.0004,0.776682
482,2.05,10.38,0.0001,0.21279
483,16.56,1.98,0.0015,0.327888
484,24.01,36.1,0.0058,8.66761
485,23.02,9.1,0.0006,2.09482
486,8.97,32.24,0.0018,2.891928
487,13.88,39.92,0.006,5.540896
488,18.85,16.45,0.0011,3.100825
489,21.34,24.76,0.0074,5.283784
490,6.59,12.45,0.0076,0.820455
491,23.48,18,0.0042,4.2264
492,18.09,13.18,0.0012,2.384262
493,24.38,23.06,0.0003,5.622028
494,8.36,38.75,0.0001,3.2395
495,18.87,28.97,0.0092,5.466639
496,21.33,19.74,0.0018,4.210542
497,4.94,0.8,0.0046,0.03952
498,9.45,4.01,0.0035,0.378945
499,12.8,23.68,0.0006,3.03104
500,24.25,29.88,0.0027,7.2459
501,7.77,4.9,0.0047,0.38073
502,10.42,3.35,0.0001,0.34907
503,16.48,29.4,0.0047,4.84512
504,19.35,2.51,0.009,0.485685
505,21.98,5.39,0.0061,1.184722
506,13.6,35.45,0.0047,4.8212
507,7.29,16.18,0.004,1.179522
508,10.15,1.36,0.0045,0.13804
509,5.39,22.31,0.0032,1.202509
510,21.44,17.91,0.0037,3.839904
511,23.4,29.22,0.005,6.83748
512,5.89,35.8,0.0056,2.10862
513,20.24,34.52,0.0045,6.986848
514,9.5,39.91,0.0003,3.79145
515,3.37,25.6,0.0053,0.86272
516,24.77,2.43,0.0082,0.601911
517,0.22,29.93,0.0077,0.065846
518,14.57,0.26,0.0001,0.037882
519,2.24,37.1,0.0011,0.83104
520,23.54,20.69,0.0026,4.870426
521,18.04,37.67,0.0081,6.795668
522,9.49,37.45,0.0081,3.554005
523,10.65,10.55,0.0046,1.123575
524,7.22,0.51,0.0058,0.036822
525,8,2.23,0.0042,0.1784
526,2.07,32.81,0.0029,0.679167
527,2.12,9.52,0.003,0.201824
528,11.5,16.1,0.0043,1.8515
529,13.47,27.31,0.0012,3.678657
530,20.43,19.11,0.0059,3.904173
531,7.35,35.33,0.0037,2.596755
532,3.85,5.49,0.0089,0.211365
533,23.62,14.67,0.0021,3.465054
534,7.2,33.12,0.0041,2.38464
535,16,33.5,0.002,5.36
536,1.11,31.53,0.0014,0.349983
537,18.71,36.05,0.0094,6.744955
538,19.4,14.22,0.0063,2.75868
539,4.83,23.21,0.0018,1.121043
540,3.15,31.35,0.0048,0.987525
541,8.79,13.47,0.0053,1.184013
542,10.49,39.32,0.0071,4.124668
543,20.23,12.7,0.0002,2.56921
544,11.53,7.46,0.0022,0.860138
545,7.18,31.18,0.0018,2.238724
546,21.12,19.59,0.0027,4.137408
547,2.62,6.09,0.0026,0.159558
548,1.96,9.92,0.0093,0.194432
549,10.32,6.96,0.0008,0.718272
550,6.69,35.2,0.0012,2.35488
551,6.46,39.26,0.0082,2.536196
552,5.58,10.18,0.0022,0.568044
553,5.91,39.52,0.0068,2.335632
554,2.13,14,0.0051,0.2982
555,1.12,30.02,0.0007,0.336224
556,12.7,1.46,0.0058,0.18542
557,14.31,7.12,0.0039,1.018872
558,13.02,8.21,0.0091,1.068942
559,20.87,2.52,0.0052,0.525924
560,24.51,28.54,0.0018,6.995154
561,14.89,33.26,0.0075,4.952414
562,22.45,32.05,0.0042,7.195225
563,22.72,8.08,0.0003,1.835776
564,14.06,9.98,0.004,1.403188
565,12.43,13.76,0.0086,1.710368
566,8.95,7.16,0.0045,0.64082
567,15.76,19.12,0.0087,3.013312
568,17.78,31.37,0.0009,5.577586
569,12.6,0.09,0.0075,0.01134
570,5.85,8.15,0.0046,0.476775
571,21.79,35.55,0.0095,7.746345
572,13.62,39.64,0.0089,5.398968
573,14.97,1.9,0.0083,0.28443
574,5.5,9.26,0.0078,0.5093
575,13.66,35.43,0.0088,4.839738
576,15.63,1.91,0.002,0.298533
577,8.17,39.39,0.0016,3.218163
578,18.91,21.49,0.004,4.063759
579,22.32,21.83,0.0063,4.872456
580,14.23,1.35,0.0002,0.192105
581,15.65,10.73,0.0066,1.679245
582,24.99,33.48,0.001,8.366652
583,12.15,31.59,0.0053,3.838185
584,17.66,23.34,0.0019,4.121844
585,4.01,37.85,0.0016,1.517785
586,19.36,3.05,0.0032,0.59048
587,2.14,12.72,0.0089,0.272208
588,1.39,8.89,0.0033,0.123571
589,9.61,11.12,0.0057,1.068632
590,7.43,21.73,0.0063,1.614539
591,15.2,34.75,0.0074,5.282
592,8.56,31.22,0.009,2.672432
593,6.31,17.03,0.0026,1.074593
594,20.51,22.63,0.0067,4.641413
595,2.83,39.82,0.005,1.126906
596,19.55,21.11,0.0026,4.127005
597,23.26,25.28,0.0088,5.880128
598,6.74,22.34,0.0093,1.505716
599,10.15,14.27,0.0036,1.448405
600,15.94,39.18,0.0034,6.245292
601,2.22,4.55,0.0014,0.10101
602,3.32,25.28,0.0036,0.839296
603,12.34,37.73,0.0019,4.655882
604,18.92,16.51,0.0061,3.123692
605,7.98,18.9,0.0035,1.50822
606,22.43,10.91,0.002,2.447113
607,22.84,34.05,0.0004,7.77702
608,22.94,32.37,0.0099,7.425678
609,2.88,37.48,0.0086,1.079424
610,1.26,31.48,0.0019,0.396648
611,10.7,7.26,0.0083,0.77682
612,24.99,28.26,0.0085,7.062174
613,15.68,0.93,0.0077,0.145824
614,10.69,32.08,0.0028,3.429352
615,14.59,39.93,0.0032,5.825787
616,20.32,0.01,0.0099,0.002032
617,2.19,14.69,0.0026,0.321711
618,19.88,7.52,0.0059,1.494976
619,11.73,36.89,0.0028,4.327197
620,6.01,5.49,0.0045,0.329949
621,23.58,23.95,0.0051,5.64741
622,23.83,20.17,0.0001,4.806511
623,23.15,28.62,0.0041,6.62553
624,15.41,29.03,0.0078,4.473523
625,7.2,17.47,0.0087,1.25784
626,1.56,39.78,0.0021,0.620568
627,1.5,30.67,0.0033,0.46005
628,23.77,10.07,0.0067,2.393639
629,3.52,19.13,0.0018,0.673376
630,6.64,32.31,0.0029,2.145384
631,10.35,2.42,0.0038,0.25047
632,14.27,1.53,0.0031,0.218331
633,5.41,18.77,0.0027,1.015457
634,4.08,10.79,0.0057,0.440232
635,24.93,39.55,0.009,9.859815
636,22.98,34.75,0.0021,7.98555
637,1.3,36.81,0.0026,0.47853
638,18.38,8.72,0.0039,1.602736
639,0,8.57,0.0075,0
640,7.83,24.4,0.0084,1.91052
641,9.97,4.62,0.0035,0.460614
642,7.13,23.22,0.0037,1.655586
643,13.02,31.24,0.0096,4.067448
644,23.3,34.18,0.0044,7.96394
645,6.8,27.86,0.0053,1.89448
646,14.87,17.15,0.0058,2.550205
647,22.26,32.21,0.0081,7.169946
648,12.31,36.4,0.0024,4.48084
649,3.97,35.55,0.0076,1.411335
650,22.04,16.61,0.0058,3.660844
651,20.76,4.03,0.01,0.836628
652,16.64,38.56,0.0011,6.416384
653,8.03,1.72,0.0005,0.138116
654,18.6,37.43,0.0059,6.96198
655,10.22,5.5,0.0094,0.5621
656,3.91,11.23,0.0071,0.439093
657,20.98,19.77,0.0051,4.147746
658,14.78,27.75,0.0012,4.10145
659,13.96,23.55,0.0058,3.28758
660,14.59,34.45,0.0068,5.026255
661,21.5,8.6,0.0073,1.849
662,1.14,29.92,0.0048,0.341088
663,16.39,1.85,0.0096,0.303215
664,6.42,6.22,0.0096,0.399324
665,2.4,2.75,0.0003,0.066
666,20.78,19.53,0.0055,4.058334
667,22.66,29.08,0.0071,6.589528
668,24.74,2.87,0.0038,0.710038
669,3.93,1.11,0.0021,0.043623
670,21.43,36.61,0.0042,7.845523
671,22.91,21.41,0.0079,4.905031
672,0.86,19.7,0.0043,0.16942
673,0.06,3.13,0.0087,0.001878
674,12.8,24.41,0.0083,3.12448
675,2.57,39.55,0.0042,1.016435
676,17.85,2.58,0.0062,0.46053
677,12.15,39.47,0.0071,4.795605
678,1.4,2.1,0.002,0.0294
679,1.31,38.88,0.0047,0.509328
680,18.73,37.2,0.0001,6.96756
681,1.59,11.64,0.002,0.185076
682,7.71,8.41,0.0045,0.648411
683,18.51,17.98,0.0089,3.328098
684,21.6,23.93,0.009,5.16888
685,5.46,21.4,0.0051,1.16844
686,20.62,6.67,0.0088,1.375354
687,6.07,23.74,0.0067,1.441018
688,9.08,14.56,0.0051,1.322048
689,18.08,5.58,0.0082,1.008864
690,20.78,20.32,0.0023,4.222496
691,8.05,3.29,0.0026,0.264845
692,17.38,29.54,0.0083,5.134052
693,7.04,8.39,0.0069,0.590656
694,17.03,7.63,0.0007,1.299389
695,12.17,38.75,0.0092,4.715875
696,19.65,29.49,0.0098,5.794785
697,12.67,16.75,0.0036,2.122225
698,9.55,14.84,0.0098,1.41722
699,10.6,6.21,0.0043,0.65826
700,7.85,21.15,0.0082,1.660275
701,17.87,30.92,0.0033,5.525404
702,17.14,27.64,0.0064,4.737496
